2024/02/18 01:01:30 올리브영 랭킹
랭킹 카테고리,순위,브랜드명,상품명,링크,카테고리
전체,30,롬앤,[NEW] 롬앤 글래스팅 컬러 글로스,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000197231&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=30,02 > 립 메이크업 > 립글로스
전체,31,닥터지,[2세대 천만크림] 닥터지 레드 블레미쉬 클리어 수딩 크림 70ml+30ml 세트,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164615&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=31,01 > 스킨케어 > 크림
전체,32,마녀공장,[증정] 마녀공장 퓨어 클렌징 오일 200ml+퓨어폼 20ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158579&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=32,01 > 클렌징 > 클렌징오일
전체,33,웨이크메이크,[한정기획] 웨이크메이크 듀이 젤 글레이즈 스틱 12 COLOR (립펜슬기획/단품),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182293&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=33,02 > 립 메이크업 > 립스틱
전체,34,센카,[한정기획/올영단독]센카 퍼펙트 휩 페이셜 워시 120g+120g 포켓몬 더블기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199402&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=34,01 > 클렌징 > 클렌징폼
전체,35,키스미,[NEW 컬러출시] N0.1 키스미 스무스 리퀴드 아이라이너 N,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000005351&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=35,02 > 아이 메이크업 > 아이라이너
전체,36,아누아,[피지쏙] 아누아 어성초 포어 컨트롤 클렌징오일 350ml 대용량,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000191483&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=36,01 > 클렌징 > 클렌징오일
전체,37,파넬,[선착순 증정] 파넬 시카마누 세럼쿠션 기획 (본품+리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190611&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=37,02 > 베이스 메이크업 > 쿠션
전체,38,일리윤,[3년연속/올영1위] 일리윤 세라마이드 아토 로션기획(600ML+600ML),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171848&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=38,04 > 바디 보습류 > 바디로션
전체,39,에스트라,[단독기획]에스트라 에이시카365 흔적진정세럼 40ml 기획(+세럼 5ml*2ea 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171715&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=39,01 > 스킨케어 > 에센스
